"title","startDate","endDate","location","content"
"로라로라 팝업","25.08.12","25.09.14","서울 영등포구 여의대로 108, 더현대서울","프렌치 무드의 뉴웨이브 클래식 라이프 스타일 브랜드 로라로라가 더현대 서울에 작은 별장을 마련했습니다. 로라로라의 감성이 머무는 공간에서 가을의 여유로운 순간을 즐겨보세요."
"2025 짱구 팝업 - 청주","25.08.29","25.09.14","충북 청주시 흥덕구 2순환로 1225","2025년 짱구 팝업 스토어, 이번엔 숨바꼭질 컨셉으로 짱덕들을 찾아갑니다 두 번째 숨바꼭질 장소는 청주!"
"아르켓 팝업 스토어","25.09.06","25.09.14","서울 성동구 성수이로 97 1층","ARKET 팝업 스토어가 성수에 오픈합니다. 오직 팝업 스토어에서만 만날 수 있는 한정 캡슐 컬렉션과 다양한 커스텀 기프트, 그리고 ARKET 카페 웰컴 드링크까지."
"캐스퍼 취향 충전소","25.09.07","25.09.14","서울 성동구 연무장5길 20, 쎈느Scene 성수","나만의 스타일, 나만의 즐거움을 적극적으로 탐구해 나가는 분들이라면 캐스퍼 취향 충전소에 놀러 오세요!"
"스노우맨 팝업","25.08.30","25.09.14","서울 성동구 연무장길 73","무더운 여름 속, 시원한 설렘을 선사하는 '한여름 속 한겨울', 일본 인기 아이돌 Snow Man의 팝업 스토어에 여러분을 초대합니다."
"풀리오 X 롯데백화점 청량리점","25.09.05","25.09.14","서울 동대문구 왕산로 214, 롯데백화점 청량리점 4층 행사장","풀리오 리올랙스 멀티 체어 오프라인 공개!"
"풀리오 X 롯데백화점 인천점","25.09.05","25.09.15","인천 미추홀구 연남로 35, 롯데백화점 인천점 5층 행사장","롯데백화점 인천점 팝업스토어에서 풀리오 신상품 3종의 체험&판매가 이루어집니다."
"뮤드 팝업 - THE SHAPE MUSEUM","25.09.05","25.09.15","서울 성동구 연무장길 81, 남경빌딩","뮤드의 새로운 컬렉션을 가장 가까이에서 만나볼 수 있도록 준비한 공간. 뮤드만의 뷰티 제품으로 당신에게 선사하는 새로운 영감을 직접 경험해보세요"
"캐릭캐릭체인지 X 러브이즈트루 팝업","25.09.04","25.09.17","서울 성동구 성수이로 74","너의 마음을 UNLOCK할 시간. 러브이즈트루와 캐릭캐릭체인지의 만남! 무신사 대림창고에서 다양한 패션 아이템을 만나보세요"
"코치 무신사 성수 팝업스토어","25.09.04","25.09.17","서울 성동구 성수이로 74","2주간 펼쳐지는 코치 무신사 팝업스토어. 러브드 레더 시리즈 등 코치의 새로운 컬렉션과 랜덤 경품이 담긴 럭키 쿠키 이벤트까지."
"K리그 X 산리오캐릭터즈","25.09.05","25.09.18","경기 수원시 권선구 세화로 134, 타임빌라스 수원점 1층 센터홀","K리그와 산리오캐릭터즈가 만났습니다. K리그 전 구단을 만난 산리오캐릭터즈 아이템을 선보입니다."
"하이큐 10주년 기념 전시","25.07.24","25.09.21","서울 성동구 연무장15길 11, S팩토리","<하이큐!! 애니메이션 10주년 기념전>이 성수 에스팩토리에서 개최됩니다."
"대상그룹 핀란드 영양분식","25.09.12","25.09.21","서울 성동구 연무장길 95, MM성수","2025 대상그룹 지식존중(地食尊重). 지역의 식재료로 지역을 새롭게, 가고싶게 <경상북도 영양군>편. 미쉐린 3스타 '강민구'셰프와 흑백요리사 반찬셰프 '송하슬람' 셰프가 경상북도 영양군을 위해 다시 뭉쳤습니다."
"토심이 팝업","25.08.25","25.09.21","서울 성동구 성수일로 47, 송도빌딩","토심이가 뚱땅뚱땅 만들어쥬는 굿즈 스토어 원하는 굿즈를 직접 배치하고 만들 수 있어 더욱 즐거운 팝업!"
"바를인성수","25.09.12","25.09.21","서울 성동구 연무장길 31-1 1층 103호","바를 팝업 스토어, <바를인성수 Barle in Seongsu>에 초대합니다."
"햄뵤랜드 팝업","25.09.12","25.09.21","서울 성동구 연무장19길 4","마마무 문별의 햄뵤랜드 팝업이 찾아왔습니다"
"트리드 팝업","25.09.17","25.09.23","서울 성동구 연무장길 81 (성수동2가)","그동안 온라인에서만 만나볼 수 있었던 트리드가 처음으로 성수에서 팝업 스토어를 오픈합니다. 매화, 난초, 국화, 대나무 향에 이은 트리드의 새로운 향인 '소나무'를 가장 가까이에서 만나보세요!"
"귀멸의칼날 부산 팝업스토어","25.09.11","25.09.24","부산 부산진구 삼정타워 2층 팝업존","귀멸의 칼날을 부산에서도 만나보세요!"
"팝마트 <라부부의 수상한 편의점>","25.09.12","25.09.25","서울 성동구 연무장길 65, LECT","호기심 많고 장난기 가득한 라부부가 우연히 한 평범한 편의점을 발견하고 자신들만의 놀이터로 바꿔놓았어요."
"페이침대 신세계 대전 팝업","25.09.05","25.09.25","대전 유성구 엑스포로 1, 대전신세계 Art&Science","프리미엄 매트리스와 리프트업 프레임 그리고 맞춤 패브릭과 컬러까지. FEY만의 독보적인 기술력과 디테일의 차이를 직접 경험해보세요."
"ITZY 팝업 : ON AIR","25.09.19","25.09.25","서울 성동구 연무장길 97-1 (성수동2가)","ITZY x TWINZY가 기다리고 있다구! 리허설은 끝! 곧 생방송 시작합니다"
"맥심가옥 팝업스토어","25.08.28","25.09.26","경북 경주시 포석로 924","행복, 이리오너라~ 바쁜 일상 잠시 내려놓고 찾아온 당신을 위해, 노란 대문을 활짝 열고 기다립니다."
"닥터마틴 팝업","25.09.18","25.09.28","서울 성동구 성수이로 97 (성수동2가)","닥터마틴 로웰 팝업이 성수에 찾아옵니다 무신사 엠프티 성수에서 특별한 팝업을 만나보세요."
"마파테 팝업","25.09.12","25.09.28","서울 성동구 연무장15길 11 (성수동2가)","호카의 아이코닉 프랜차이즈 MAFATE가 팝업으로 찾아왔습니다 트레일을 넘어, 라이프스타일로 확장된 마파테 시리즈를 성수에서 만나보세요."
"써모스 팝업스토어 : HAPPY ROUTINE DAY","25.09.18","25.09.28","서울 성동구 연무장17길 4","루틴과 함께하는 매일을 되새기고 나만의 방식으로 기념해 보세요. 다시 이어질 일상과 나만의 루틴이 조금 더 새삼스럽고 특별하게 느껴질 거예요."
"스탠리 1913 x JENNIE","25.09.19","25.09.28","서울 성동구 아차산로 116","Stanley 1913 x JENNIE Collection이 선사하는 특별한 순간, 스탠리 팝업에서 직접 경험하세요."
"설화수 팝업 - SECRET HOUSE","25.09.12","25.09.28","서울 강남구 도산대로45길 18 (신사동)","Secret to Longevity Powered by Ginseng' 설화수 스킨 롱제비티와 자음생크림에 담긴 자생력의 비밀을 찾아가는 여정에 초대합니다"
"토리든 커넥트 성수 : 토리웨이브 클럽","25.07.01","25.09.29","서울 성동구 성수이로7가길 17 (성수동2가)","올 여름 피부까지 시원하게 쉬어 가는 토리웨이브 속으로 초대합니다. DIVE IN 파도가 흐르는 토리웨이브 해변에서 수분을 충전해보세요."
"너무 착한데? & 너무 별론데?","25.08.20","25.09.30","서울 성동구 뚝섬로 403","일본에서 50만명 넘게 방문 한 인기 폭발 전시! <너무별론데? 너무좋은데?> 전시가 성수를 찾아왔습니다"
"코코리컬러 아크디성수","25.09.05","25.09.30","서울 성동구 아차산로5길 24-11, ARC DE 성수 5층","성수에서 가장 '핫한 컬러 스팟'. 친구랑, 연인이랑, 혼자 와도 200% 재밌는 컬러 체험! 인생샷도 남기고, 나한테 꼭 맞는 컬러도 챙겨가세요."
"카카오페이 팝업 : 오래오래 함께가게","25.09.03","25.09.30","서울 성동구 연무장17길 7 (성수동2가)","소상공인 브랜드가 마음껏 매력을 펼칠 수 있도록 새롭고 다채로운 경험을 누릴 수 있는 우리만의 작은 브랜드 놀이터, 2025년 ‘오래오래 함께가게’가 세 번째 문을 엽니다."
"솔리튜드 팝업 : The Craft of Solitude","25.09.01","25.09.30","서울 성동구 성수이로 74 (성수동2가)","'향수를 넘어, 하나의 공예 작품으로' 솔리튜드가 무신사 성수 대림창고에 찾아왔습니다. 조향사의 장인정신과 향의 예술성을 공간 속에서 직접 경험해보세요!"
"포맨트 X 짱구","25.08.29","25.09.30","서울 성동구 연무장7길 13, 올리브영N성수","더 귀여워져서 돌아온 레전드 콜라보. 짱구와 포맨트의 만남이 찾아왔습니다! 이번에는 흰둥이까지 함께."
"셀바티코 팝업 : 정원사의 서재","25.09.02","25.09.30","서울 성동구 연무장17길 10 (성수동2가)","코 끝에는 자연의 향기가 맴돌고, 손이 닿는 곳에는 새로운 이야기가 있는 정원사의 서재에서 나만의 향기를 찾아보세요."
"키츠네 스타필드 수원 팝업 스토어","25.07.01","25.09.30","경기 수원시 장안구 수성로 175, 스타필드 수원 1층","일본 정통 방식의 무시푸딩 전문점 키츠네 팝업 스토어! 증기로 쪄서 만든 무젤라틴 푸딩을 맛볼 수 있어요!"
"NH 올원타운 팝업","25.09.01","25.09.30","서울 성동구 연무장13길 11, 영성산업","DIY 키링도 만들고, 굿즈도 받고, 다양한 포토존에서 사진도 찍고 거기에 한식 다이닝 서비스까지?"
"2025 짱구 팝업 - 대구","25.09.19","25.10.04","대구 중구 달구벌대로 2077, 더현대 대구","2025년 짱구 팝업 스토어, 숨바꼭질 컨셉으로 짱덕들을 찾아갑니다"
"고양이와 스프 팝업","25.09.18","25.10.09","서울 광진구 아차산로 272 (자양동)","고양이와 스프 팝업이 브이스퀘어를 찾아왔습니다. 콜라보 카페에서 맛있는 디저트도 먹고 다양한 굿즈도 구경할 수 있는 팝업으로 초대합니다."
"스펀지밥 X 팝퍼블 콜라보 카페","25.07.04","25.10.12","부산 수영구 민락수변로17번길 56, 팝퍼블카페","락앤롤~ 바닷속 페스티벌, 지상에 상륙! 스폰지밥과 함께 즐기는 한여름의 락 페스티벌 카페가 부산에 개최됩니다"
"베베드피노 X 피너츠 팝업","25.09.04","25.10.16","서울 강남구 가로수길 82 (신사동)","베베드피노와 피너츠의 콜라보 현장! 캐리마켓 신사의 팝업에서는 어떤 일이 벌어질까요? 상상만 해도 흐뭇한 두 브랜드의 콜라보가 지금 시작합니다."
"산리오 팝업 : 마이멜로디의 드림카트","25.10.10","25.10.16","서울 성동구 성수이로 74","마이멜로디의 레드&핑크 컬러를 콘셉트로 패션, 뷰티, 한정MD를 통해 각각 다른 무드의 알록달록한 꿈을 실은 마이멜로디의 카트를 선보입니다."
"SSG닷컴 페스티벌 - 미지엄","25.10.15","25.10.19","서울 성동구 연무장15길 11, 에스팩토리 D동","SSG닷컴 의 첫 오프라인 페스타, ‘미지엄’에 초대합니다 100여개의 엄선된 브랜드 라인업, 게다가 스타 셰프들과 함께하는 쿠킹 토크쇼까지"
"2025 SUPER 한돈 페스타","25.10.11","25.10.19","서울 성동구 연무장길 73, 성수 XYZ 서울","슈퍼 한돈 에너지를 느낄 수 있는 즐거운 콘텐츠 체험과 글로벌 미식 브랜드들이 선보이는 한돈 요리까지! <2025 SUPER 한돈 페스타>에서 특별한 즐거움을 만나보세요!"
"성북동비둘기 FAIR-PLAY","25.10.09","25.10.19","서울 성동구 뚝섬로 403, 스테이지 엑스 성수 403","극단 성북동비둘기의 창작공간 뚝섬플레이스에서 FAIR-PLAY가 열립니다. 연출가 김현탁과 성북동비둘기의 아카이브를 직접 확인하고, 연극 <The Lover 정부>도 관람하세요."
"패트와 매트 팝업","25.09.02","25.10.19","부산 부산진구 중앙대로 672, 삼정타워","부산 최초 패트와 매트 팝업스토어 오픈! 어릴적 추억 속 두 친구가 부산으로 찾아왔습니다! 귀여운 굿즈부터 깜찍한 전시까지 사랑스러운 일상의 유쾌함을 함께 느껴보세요."
"나가노마켓 - 부산","25.10.03","25.10.19","부산 부산진구 중앙대로 672, 삼정타워","나가노 마켓 팝업이 이번엔 부산에 찾아왔습니다 다양한 혜택과 함께 농담곰을 부산에서 만나보세요"
"웨버 팝업스토어 - 대구","25.09.19","25.10.19","대구 동구 동부로 149, 신세계백화점 7층 이벤트홀","글로벌 바베큐 브랜드 웨버의 첫번째 팝업!"
"바이오힐 보 in 트렌드팟 바이 올리브영 성수","25.10.12","25.10.20","서울 성동구 연무장7길 13, 팩토리얼 성수","바이오힐 보의 안티에이징 핵심 성분 NAD. 내 미래의 광손실 피부에 대해 알아보고 꺼져가는 피부 조명의 해답인 NAD로 타임머신을 가동시켜 자가광채 피부를 되찾아보세요!"
"케키바이고미 빵고미 팝업","25.10.07","25.10.23","부산 부산진구 가야대로 772, 롯데백화점 부산점 B1","빵빵한 빵고미는 빵을 좋아해!"
"노에트 1st scene in 성수","25.10.10","25.10.23","서울 성동구 연무장7길 16, 성수포탈","언제 어디서나 내가 원하는 모습의 '나' 이기를. On-the-go beauty, 노에트의 첫번째 팝업스토어!"
"펜필드 X 닉기어","25.10.11","25.10.24","서울 성동구 성수이로 97, 무신사 엠프티 성수","펜필드의 런칭 50주년을 기념해 무신사 엠프티 성수에 팝업으로 찾아왔습니다."
"IGG Korea 알트지 인디게임 페스티벌","25.10.25","25.10.25","서울 성동구 연무장길 97-1","ALT+G : Our Alternative Indie-Game Festival 성수동 연무장로에서 열리는 ALT+G(알트지) 는 인디게임 전시&어워드"
"eyoeyo 팝업","25.09.26","25.10.26","서울 성동구 동일로 79","eyoeyo가 성수에 찾아왔습니다!"
"집집: 소중한 잡동사니마켓","25.10.24","25.10.26","서울 성동구 성수일로 33","집집은 가장 사적인 마음을 지켜온 150여명의 작가님들과 함께 준비한 아트 마켓입니다."
"풀리오 성수 팝업","25.10.17","25.10.26","서울 성동구 연무장길 65, LECT 성수","프리미엄 마사지기 브랜드 '풀리오'가 성수에 찾아옵니다."
"2025 월드웹툰페스티벌","25.10.16","25.10.26","서울 송파구 올림픽로 300, 잠실 롯데타운일대","전세계 웹툰을 한자리에서 만날 수 있는 곳. 몰랐던 웹툰도 보고 다채로운 굿즈와 이벤트까지!"
"케이채 사진전 : Wandergraphy","25.09.12","25.10.26","서울 성동구 성수이로3길 18-1","홀로 세상을 방랑하는 사진가 케이채의 작품들을 성수에서 감상해보세요."
"에일리언스테이지 X 애니플러스 콜라보 카페 - 서울","25.09.25","25.10.26","서울 마포구 월드컵로3길 14","애니플러스 서울 합정점에 에이스테 콜라보카페가 오픈했습니다."
"에일리언스테이지 X 애니플러스 콜라보 카페 - 부산","25.09.25","25.10.26","부산 부산진구 중앙대로 672 (부전동, 삼정타워)","애니플러스 부산 서면점에 에이스테 콜라보카페가 오픈했습니다! 다양한 굿즈와 콜라보 메뉴들이 가득하니 절대 놓치지 마세요"
"오아시스 팬스토어 서울","25.10.16","25.10.26","서울 중구 을지로 127, 뉴스뮤지엄 을지로","영국 록밴드 오아시스의 공식 팝업스토어 'Oasis Live ‘25 Fan Store'가 뉴스뮤지엄 을지로에서 오픈합니다."
"원주 원도심 팝업스토어 : 만두 가게","25.10.08","25.10.26","강원 원주시 원일로 128","만두 빚고, 먹고, 즐기고! 원도심 팝업스토어 '만두 가게'"
"어노브 베어글로우 팝업스토어","25.10.24","25.10.26","서울 성동구 연무장7길 16","어노브 베어글로우 팝업에서 새로운 핸드바디 라인과 함께 압도적인 부드러움, 맑게 빛나는 결광을 경험해 보세요."
"2025 짱구 팝업 - 부산","25.10.10","25.10.26","부산 동구 범일로 125, 커넥트현대 부산","2025년 짱구 팝업 스토어. 이번엔 숨바꼭질 컨셉으로 짱덕들을 찾아갑니다."
"아디다스 X 떠그클럽","25.10.17","25.10.29","서울 성동구 성수이로 74","서울에서 시작된 질주, 아디다스 X 떠그클럽 팝업이 성수에 찾아왔습니다."
"이웃집 통통이 팝업스토어","25.08.29","25.10.30","경기 수원시 장안구 수성로 175 (정자동), 스타필드 수원","이웃집 통통이가 수원에 왔습니다. 쫀득빵은 물론 새로 출시한 베이커리 라인업까지!"
"CLOGY 스타필드 수원 팝업","25.08.01","25.10.30","경기 수원시 장안구 수성로 175, 스타필드 수원 1층","CLOGY의 특별한 신발모양 빵 팝업이 찾아왔습니다. 시선을 사로잡는 비주얼과 놀라운 맛을 경험해 보세요."
"OFZ 스타필드 수원 팝업","25.07.23","25.10.30","경기 수원시 장안구 수성로 175, 스타필드 수원 1층","가장 한국적인 동시에 건강한 오일을 통한 건강한 식문화를 제안하는 OFZ의 팝업스토어."
"울산 브랜드 홍보관 : 꿈보다 해몽","25.08.18","25.10.31","울산 남구 화합로 185, 업스퀘어","문화도시 울산의 브랜드 홍보관이 울산 업스퀘어 4층에 문을 열었어요."
"메종미하라야스히로 팝업","25.08.07","25.10.31","서울 영등포구 여의대로 108 더현대서울 2층","다양한 미하라야스히로 스니커즈와 여성, 남성 25 F/W 상품을 확인할 수 있는 메종미하라야스히로 팝업."
"아리 팝업","25.10.01","25.10.31","서울 성동구 아차산로 103","무신사 테라스 성수에 ARI의 특별한 팝업이 찾아옵니다."
"쉘코퍼레이션 팝업","25.09.11","25.10.31","서울 성동구 왕십리로14길 7","지속가능 여성 아웃도어 브랜드 쉘코퍼레이션과 무신사 어스의 협업을 기념한 성수동 팝업스토어에 초대합니다."
"카와이토모 퍼글러 팝업","25.09.12","25.10.31","부산 부산진구 중앙대로 672, 삼정타워 2층","다시 돌아온 카와이토모 퍼글러 팝업스토어 오픈! 더욱 특별하고 더욱 다양한 캐릭터가 가득해졌어요! '카와이토모=귀여운 친구들'이라는 사실! 귀여움 수치 만렙으로 기다리고 있을게요."
"벤슨 X 엔믹스 팝업","25.10.03","25.10.31","서울 강남구 선릉로 829, 벤슨 크리머리 서울","Blue Valentine의 세계로 초대합니다. 엔믹스 플레이버와 다양한 콜라보 굿즈들을 강남에서 직접 만나보세요"
"2025 문화가 있는 날 청춘마이크 10년 기념행사","25.10.31","25.11.01","서울 성동구 성수이로20길 57, SPACE S1","'문화가 있는 날 청춘마이크'가 10년을 맞이했습니다. 이를 기념해 성수 SPACE S1에서 다양한 프롬그램이 펼쳐집니다."
"플라워노즈 팝업","25.10.18","25.11.01","서울 성동구 아차산로 116","플라워노즈 무드 가득한 공간 속에서 당신의 하루가 설렘 가득하게 바뀔 거예요"
"조선 요괴전 팝업","25.09.06","25.11.02","서울 마포구 양화로23길 22-7 (동교동)","조선시대의 기괴하고 섬뜩한 요괴들을 소재로 한 특별한 공포체험 <조선요괴전>."
"삼성화재 카르르 세이프티 빌리지","25.10.18","25.11.02","경기 용인시 처인구 포곡읍 에버랜드로376번길 171, 삼성화재 모빌리티뮤지엄","[예약필요] 삼성화재의 '모두의 안전'을 지키려는 신념과 마이크로 킥보드의 '안전한 킥보드 문화를 위한 노력이 만나 <카르르 세이프티 빌리지>가 탄생했어요."
"짱구와 함께 떠나는 캠핑 어드벤처 전시","25.06.28","25.11.02","부산 영도구 해양로195번길 180","야외시장부터 숲속 모험까지! 여름보다 뜨겁게 찾아온 짱구 페스티벌, 지금부터 짱구와 함께 캠핑 어드벤처 떠나볼까요? 꿈꾸던 순간이 현실이 됩니다."
"멍냥사진관 팝업","25.10.02","25.11.02","충북 청주시 흥덕구 2순환로 1322, MBC충북 공개홀","반려동물과 함께 하는 셀프스튜디오 30여가지 테마로 꾸며진 촬영부스에서 우리아이의 소중한 사진을 남겨주세요."
"카누 캡슐 플래그십 스토어","25.09.04","25.11.02","서울 종로구 북촌로5길 14","카누 캡슐의 첫 번째 플래그십 스토어에서는 나에게 꼭 맞는 캡슐 커피를 발견할 수 있어요."
"Allso 소파다방","25.08.08","25.11.02","서울 중구 장충단로8길 11-18, 코브더장충","나만의 시간이자 하나의 방이 되어주는 소파 위에서 우리들은 다채로운 시간을 감각합니다. 잠들어 있던 감각이 다시 흐르는 이곳은 알로소의 다섯 번째 이야기. 소파多방 Sofa & Time 입니다."
"바이오던스 GLOW STAY IN SEONGSU","25.10.24","25.11.02","서울 성동구 성수이로 88, 남정빌딩","나만의 아름다움 'Glow'를 발견하는 곳, GLOW STAY에 당신을 초대합니다."
"구찌 뷰티 하우스","25.10.24","25.11.02","서울 성동구 성수이로71","구찌 메이크업 및 향수 컬렉션의 정수를 담은 몰입형 공간. 구찌 뷰티 하우스로 초대합니다."
"기후가 이사가래요","25.10.28","25.11.02","서울 성동구 왕십리로 63, 언더스탠드에비뉴 아트스탠드","국제구조위원회가 한국에서 처음 선보이는 팝업 전시 '기후가 이사가래요'가 열립니다."
"호러라이브 인 서울","25.10.24","25.11.02","서울 마포구 양화로 178-5, LC타워 별관 지하 2층 팬베이스 홍대점","글로벌 버추얼 유튜버 그룹 홀로라이브 프로덕션이 서울 홍대에서 팝업 스토어 ‘호러라이브 인 서울’을 연다!"
"괴담출근 팝업","25.09.24","25.11.02","서울 서대문구 연세로 13, 현대백화점 유플렉스","<괴담에 떨어져도 출근을 해야 하는구나> 전시가 현대백화점 신촌점에서 열립니다. 굿즈 팝업은 유플렉스 1층, 전시는 유플렉스 12층에서 확인할 수 있습니다."
"인천공항 해치 팝업스토어","25.09.24","25.11.02","인천 중구 공항로 271, 인천국제공항역","해치가 인천공항에 떴다. 해치 굿즈 전시와 재미있는 인천공항 X 서울관광 포토존! 인천공항 1층 입국장 F게이트 앞에서 귀여운 해치를 만날 수 있습니다."
"엔하이픈 월드 팝업 : 인비테이션 프롬 밤피르","25.10.17","25.11.02","서울 영등포구 여의대로 108, 더현대 서울","뱀파이어로 오랜 기간 살아온 ENHYPEN 멤버들. 그리고 그들의 힘의 원천인 '기억'을 지키는 '커넥터'. 그들의 이야기를 담은 시네마틱 어드벤처 장르 모바일 게임 '엔하이픈 월드: 이터널 모먼트'의 첫번째 한국 팝업!"
"ATEEZ 8 ROOM","25.10.17","25.11.02","서울 영등포구 여의대로 108, 더현대서울 지하1층 대행사장","에이티즈 7주년 공식 팝업 '8ROOM'"
"바이탈뷰티 팝업","25.10.14","25.11.02","서울 성동구 아차산로11길 7, 아모레성수","아모레성수에 가면 먹고 바르는 뷰티를 직접 체험할 수 있는 아주 SUPER한 기회가 있어요."
"3CE 벨벳 케이크샵","25.10.22","25.11.03","서울 성동구 연무장7길 13 올리브영N성수","3CE VELVET CAKE SHOP에서 새로워진 벨벳 립 틴트 플러쉬와 팝업 단독 혜택을 만나보세요!"
"그럴만두 팝업 - 성수","25.09.02","25.11.04","서울 성동구 서울숲길 38 (성수동1가)","메이드바이와 스테디너리 작가님이 함께 열심히 빚은 만두 가게, '그럴만두' 팝업이 오픈합니다"
"그럴만두 팝업 - 부산","25.09.02","25.11.04","부산 부산진구 전포대로199번길 34, 카페 라비앙로즈","메이드바이와 스테디너리 작가님이 함께 열심히 빚은 만두 가게, '그럴만두' 팝업이 오픈합니다"
"두햄빠! 팝업 : 밍기적 하우스","25.10.17","25.11.05","서울 성동구 성수이로 77, 라인프렌즈 스퀘어 성수 1층","오리두기 햄무라비 빠니가 라인프렌즈 스퀘어 성수를 찾아왔어요!"
"롬아카이브 팝업","25.10.17","25.11.06","서울 강남구 언주로168길 24 2층, KREAM VIP룸","EQL GROVE와 함께 준비한 롬아카이브 팝업 스토어에 초대합니다 이번 팝업에서는 유니크 라인 전 제품과 함께, 새롭게 선보이는 EQL 익스클루시브 라인을 먼저 만나볼 수 있습니다."
"무모한 상점 몬치치 팝업 - 영등포","25.10.24","25.11.06","서울 영등포구 경인로 846 (영등포동)","무모한상점이 아껴 두었던 특별한 몬치치들을 드디어 공개합니다! 몬치치뿐만 아니라, 무모한상점의 다양한 소품들도 함께 만나보실 수 있습니다."
"보물상 팝업","25.10.24","25.11.09","서울 성동구 성수일로 47 (성수동1가)","현대 감성 X 전통의 멋. 특별한 한국 전통 굿즈들이 <보물상>에 모였습니다."
"범준 X 찰스퍼니처 + 장미맨숀 : 삶 너머 삶","25.10.17","25.11.09","서울 성동구 성수이로24길 31, HAESO 성수","HAESO에서 범준과 찰스퍼니처, 장미맨숀의 콜라보 전시, <삶 너머 삶>을 선보입니다."
"쥬베룩 북 하우스","25.11.01","25.11.09","서울 성동구 연무장길 65","LOOK JUSTLOOK JUVELOOK. 보다 바라던 나를, 만나다 나만의 LOOK을. 쥬베룩 팝업스토어"
"토이스토리 30주년 팝업","25.10.18","25.11.09","대구 중구 달구벌대로 2077, 더현대 대구 9층","우디와 버즈를 다시 만나는 순간, <토이 스토리>와 함께 특별한 하루"
"취(Chwi) 쌀향 런칭 팝업","25.10.30","25.11.09","서울특별시 종로구 계동길 5","가장 한국적인 향과 미감을 전하는 뷰티&프래그런스 브랜드 취(Chwi)에서 쌀향의 여정을 시작합니다."
"무모한 상점 몬치치 팝업 - 성수","25.11.08","25.11.10","서울 성동구 왕십리로6길 14-1 (성수동1가)","무모한상점이 아껴 두었던 특별한 몬치치들을 드디어 공개합니다! 몬치치뿐만 아니라, 무모한상점의 다양한 소품들도 함께 만나보실 수 있습니다."
"READING PARTY","25.11.04","25.11.12","서울 영등포구 여의대로 108, 더현대 서울","‘리딩파티(Reading Party)’는 책과 향, 시선이 어우러지는 새로운 형태의 독서 경험을 제안합니다."
